Manufacturer,Model,Description,AorM,Transmission,Engine Capacity,Fuel Type,Metric Urban (Cold),Metric Extra-Urban,Metric Combined,Imperial Urban (Cold),Imperial Extra-Urban,Imperial Combined,CO2 g/km,Euro standard,Noise Level dB(A),Emissions CO [mg/km],THC Emissions [mg/km],Emissions NOx [mg/km],THC + NOx Emissions [mg/km],Particulates [No.] [mg/km],Date of change,Fuel Cost 12000 Miles,Tax band,Standard 12 months,Standard 6 Months,1st year 12 months,1st year 6 months,,,
BMW,1 Series 5-door F20 From September 2011,120d 5-door - 205/50 R17 tyres front & rear,Automatic,A8,1995,Diesel,5.4,4.1,4.6,52.3,68.9,61.4,121,6,75.0,115,,30,47,0.2,,"£1,306.05",D,£100.00,£55.00,£0.00,NA,,,
BMW,1 Series 5-door F20 From September 2011,120d 5-door - 205/50 R17 tyres front & rear,Manual,M6,1995,Diesel,5.8,4.1,4.7,48.7,68.9,60.1,124,6,74.0,174,,72,77,0.2,,"£1,334.30",D,£100.00,£55.00,£0.00,NA,,,
BMW,1 Series 5-door F20 From September 2011,120d 5-door - 205/55 R16 tyres,Automatic,A8,1995,Diesel,5.2,4.1,4.5,54.3,68.9,62.8,118,6,75.0,115,,30,47,0.2,,"£1,276.93",C,£30.00,NA,£0.00,NA,,,
BMW,1 Series 5-door F20 From September 2011,120d 5-door - 205/55 R16 tyres,Manual,M6,1995,Diesel,5.7,4.0,4.6,49.6,70.6,61.4,122,6,74.0,174,,72,77,0.2,,"£1,306.05",D,£100.00,£55.00,£0.00,NA,,,
BMW,1 Series 5-door F20 From September 2011,120d 5-door - 225/40 R18 tyres front / 245/35 R18 tyres rear,Automatic,A8,1995,Diesel,5.4,4.1,4.6,52.3,68.9,61.4,121,6,75.0,115,,30,47,0.2,,"£1,306.05",D,£100.00,£55.00,£0.00,NA,,,
BMW,1 Series 5-door F20 From September 2011,120d 5-door - 225/40 R18 tyres front / 245/35 R18 tyres rear,Manual,M6,1995,Diesel,5.8,4.1,4.7,48.7,68.9,60.1,124,6,74.0,174,,72,77,0.2,,"£1,334.30",D,£100.00,£55.00,£0.00,NA,,,
BMW,1 Series 5-door F20 From September 2011,120d 5-door - 225/45 R17 tyres front & rear,Automatic,A8,1995,Diesel,5.4,4.1,4.6,52.3,68.9,61.4,121,6,75.0,115,,30,47,0.2,,"£1,306.05",D,£100.00,£55.00,£0.00,NA,,,
BMW,1 Series 5-door F20 From September 2011,120d 5-door - 225/45 R17 tyres front & rear,Manual,M6,1995,Diesel,5.8,4.1,4.7,48.7,68.9,60.1,124,6,74.0,174,,72,77,0.2,,"£1,334.30",D,£100.00,£55.00,£0.00,NA,,,
BMW,1 Series 5-door F20 From September 2011,120d 5-door - 225/45 R17 tyres front / 245/40 R17 tyres rear,Automatic,A8,1995,Diesel,5.4,4.1,4.6,52.3,68.9,61.4,121,6,75.0,115,,30,47,0.2,,"£1,306.05",D,£100.00,£55.00,£0.00,NA,,,
BMW,1 Series 5-door F20 From September 2011,120d 5-door - 225/45 R17 tyres front / 245/40 R17 tyres rear,Manual,M6,1995,Diesel,5.8,4.1,4.7,48.7,68.9,60.1,124,6,74.0,174,,72,77,0.2,,"£1,334.30",D,£100.00,£55.00,£0.00,NA,,,
BMW,3 Series Saloon F30 From February 2012,320d EfficientDynamics Saloon - 205/60 R16 tyres front & rear,Automatic,A8,1995,Diesel,4.9,3.7,4.1,57.6,76.3,68.9,109,6,72.0,109,,35,61,0.2,,"£1,163.88",B,£20.00,NA,£0.00,NA,,,
BMW,3 Series Saloon F30 From February 2012,320d EfficientDynamics Saloon - 205/60 R16 tyres front & rear,Manual,M6,1995,Diesel,5.1,3.6,4.1,55.4,78.5,68.9,109,6,73.0,143,,47,157,0.2,,"£1,163.88",B,£20.00,NA,£0.00,NA,,,
BMW,5 Series F10/F11 From March 2010,520d EfficientDynamics Saloon - 225/55 R17 tyres front & rear,Manual,M6,1995,Diesel,5.6,3.9,4.5,50.4,72.4,62.8,119,6,75.0,246,,58,91,0.2,,"£1,276.93",C,£30.00,NA,£0.00,NA,,,
BMW,5 Series F10/F11 From March 2010,520d Saloon - 225/55 R17 tyres front & rear,Automatic,A8,1995,Diesel,5.4,4.4,4.8,52.3,64.2,58.9,125,6,73.0,175,,41,71,0.1,,"£1,361.48",D,£100.00,£55.00,£0.00,NA,,,
BMW,5 Series F10/F11 From March 2010,520d Saloon - 225/55 R17 tyres front & rear,Manual,M6,1995,Diesel,5.7,4.3,4.8,49.6,65.7,58.9,127,6,75.0,103,,26,73,0.1,,"£1,361.48",D,£100.00,£55.00,£0.00,NA,,,
BMW,5 Series F10/F11 From March 2010,520d Saloon - 245/40 R19 tyres front & 275/35 R19 tyres rear,Automatic,A8,1995,Diesel,5.7,4.6,5.0,49.6,61.4,56.5,131,6,73.0,175,,41,71,0.1,,"£1,419.32",E,£120.00,£66.00,£120.00,£66.00,,,
BMW,5 Series F10/F11 From March 2010,520d Saloon - 245/40 R19 tyres front & 275/35 R19 tyres rear,Manual,M6,1995,Diesel,6.0,4.5,5.0,47.1,62.8,56.5,133,6,75.0,103,,26,73,0.1,,"£1,419.32",E,£120.00,£66.00,£120.00,£66.00,,,
BMW,5 Series F10/F11 From March 2010,520d Saloon - 245/45 R18 tyres front & 275/40 R18 tyres rear,Automatic,A8,1995,Diesel,5.7,4.6,5.0,49.6,61.4,56.5,131,6,73.0,175,,41,71,0.1,,"£1,419.32",E,£120.00,£66.00,£120.00,£66.00,,,
BMW,5 Series F10/F11 From March 2010,520d Saloon - 245/45 R18 tyres front & 275/40 R18 tyres rear,Manual,M6,1995,Diesel,6.0,4.5,5.0,47.1,62.8,56.5,133,6,75.0,103,,26,73,0.1,,"£1,419.32",E,£120.00,£66.00,£120.00,£66.00,,,
